kana,municipality,department,section,phone
バ,磐梯町,行政管理課,税務管財グループ,0242-74-1213
ヒ,檜枝岐村,総務課,税務係,0241-75-2500
ヒ,平田村,税務課,賦課グループ,0247-55-3113
ヒ,広野町,町民課,税務グループ,0240-27-4160
フ,福島市,財務部　市民税課,"特別徴収：市民税
    第一係
    普通徴収：市民税
    第二係、第三係","024-535-1111
    （内線：第一係2427、
    　　　　第二係2431、
    　　　第三係2435）"
フ,双葉町,税務課,賦課係,0240-33-2111
フ,古殿町,住民税務課,住民税係,0247-53-4617
ミ,三島町,町民課,町民生活係,0241-48-5555
ミ,南会津町,税務課,課税係,0241-62-6110
ミ,南相馬市,税務課,市民税係,0244-24-5226
ミ,三春町,住民税務課,課税グループ,0247-62-8127
モ,本宮市,税務課,市民税係,0243-33-1111
ヤ,柳津町,総務課,税務班,0241-42-2113
ヤ,矢吹町,税務課,町税係,0248-42-2113
ヤ,矢祭町,自立総務課,税務グループ,0247-46-4572
ユ,湯川村,住民税務課,税務係,0241-27-8820
ア,阿見町,税務課,町民税係,029-888-1111
イ,石岡市,税務課,市民税担当,0299-23-1111
イ,潮来市,税務課,住民税グループ,0299-63-1111
イ,稲敷市,税務課,住民税係,029-892-2000
イ,茨城町,税務課,町民税係,029-292-7114
ウ,牛久市,税務課,市民税グループ,029-873-2111
オ,大洗町,税務課,町民税係,029-267-5111
オ,小美玉市,税務課,市民税係,0299-48-1111
カ,笠間市,税務課,市民法人税グループ,0296-77-1101
カ,鹿嶋市,税務課,市民税係,0299-82-2911
カ,かすみがうら市,税務課,市民税係,0299-59-2111
カ,神栖市,市民税課,-,0299-90-1134
カ,河内町,企画財務課,課税係,0297-84-2111
キ,北茨城市,税務課,市民税係,0293-43-1111
コ,古河市,市民税課,市民税係,0280-22-5111
ゴ,五霞町,町民税務課,税務グループ,0280-84-1966
サ,境町,税務課,町民税係,0280-81-1302
サ,桜川市,税務課,市民税第一係,0296-58-5111
シ,下妻市,税務課,市民税係,0296-43-2111
ジ,常総市,税務課,市民税係,0297-23-2907
シ,城里町,税務課,住民税グループ,029-288-3111
タ,大子町,税務課,町税グループ,0295-72-1116
タ,高萩市,税務課,市民税係,0293-23-2115
チ,筑西市,市民税課,-,0296-24-2111
ツ,つくばみらい市,税務課,市民税係,0297-58-2111
ツ,つくば市,市民税課,住民税担当,029-836-1111
ツ,土浦市,課税課,市民税係,029-826-1111
ト,東海村,税務課,住民税担当,029-287-0833
ト,利根町,税務課,税務グループ,0297-68-2211
ト,取手市,課税課,市民税係,0297-74-2141
ナ,那珂市,税務課,市民税係,029-298-1111
ナ,行方市,税務課,市民税グループ,0299-72-0811
バ,坂東市,課税課,市民税係,0297-35-2121
ヒ,常陸太田市,税務課,市民税係,0294-72-3111
ヒ,常陸大宮市,税務課,市民税係,0295-52-1111
ヒ,日立市,市民税課,市民税係,0294-22-3111
ヒ,ひたちなか市,市民税課,市民税担当,029-273-0111
ホ,鉾田市,税務課,市民税係,0291-33-2111
ミ,水戸市,市民税課,税制係,029-232-9138
ミ,美浦村,税務課,民税係,029-885-0340
モ,守谷市,税務課,市民税グループ,0297-45-1111
ヤ,八千代町,税務課,住民税係,0296-48-1666
ユ,結城市,税務課,市民税係,0296-32-1111
リ,龍ケ崎市,税務課,市民税係,0297-60-1519
ア,足利市,税務課,市民税担当,0284-20-2122
イ,市貝町,税務課,賦課係,0285-68-1112
イ,岩舟町,税務課,町民税担当,0282-55-7757
ウ,宇都宮市,市民税課,-,028-632-2203
オ,大田原市,税務課,市民税係,0287-23-8725
オ,大平町,税務課,町民税係,0282-43-9208
オ,小山市,市民税課,市民税第一係,0285-22-9422
カ,鹿沼市,税務課,市民税係,0289-63-2112
カ,上三川町,税務課,住民税係,0285-56-9122
サ,さくら市,税務課,市民税係,028-681-1114
サ,佐野市,市民税課,市民税係,0283-24-5111
シ,塩谷町,税務課,課税担当,0287-45-1117
シ,下野市,税務課,市民税グループ,0285-40-5554
タ,高根沢町,住民課,税務担当住民税グループ,028-675-8103
ツ,都賀町,税務課,町民税係,0282-29-1102
ト,栃木市,税務課,市民税担当,0282-21-2124
ナ,那珂川町,税務課,住民税係,0287-92-1120
ナ,那須烏山市,税務課,住民税係,0287-83-1114
ナ,那須塩原市,課税課,市民税係,0287-62-7121
ナ,那須町,税務課,"町税グループ
    町民税担当",0287-72-6903
ニ,西方町,税務課,住民税係,0282-92-0303
ニ,日光市,税務課,市民税係,0288-21-5113
ニ,二宮町,税務課,町民税係,0285-74-5013
ノ,野木町,税務課,町民税係,0280-57-4143
ハ,芳賀町,税務課,賦課係,028-677-6013
フ,藤岡町,税務課,住民保険税係,0282-62-0902
マ,益子町,税務課,町民税係,0285-72-8832
ミ,壬生町,税務課,町民税係,0282-81-1817
モ,真岡市,税務課,市民税係,0285-83-8113
モ,茂木町,税務課,町民税係,0285-63-5638
ヤ,矢板市,税務課,市民税担当,0287-43-1115
ア,安中市,税務課,市民税係,027-382-1111
イ,伊勢崎市,市民税課,個人市民税担当,0270-24-5111
イ,板倉町,生活窓口課,課税グループ,0276-82-1111
ウ,上野村,住民課,税務係,0274-59-2111
オ,邑楽町,税務課,町民税係,0276-88-5511
オ,大泉町,税務課,課税グループ,0276-63-3111
オ,太田市,市民税課,"市民税一係
    市民税二係",0276-47-1111
カ,片品村,住民課,住民税係,0278-58-2116
カ,川場村,総務課,税務グループ,0278-52-2111
カ,神流町,住民生活課,民税係,0274-57-2111
カ,甘楽町,住民課,税務係,0274-74-3131
